전시회 개최년도,전시회 한글명,전시회 영문 약칭명,전시회 영문명 전체명 ,전시회 분류,전시회 개최주기,전시회 개최국가,전시회 개최도시,전시회 개최건물,전시 분야,전시 품목,전시회 시작일,전시회 종료일,총 참가국 수,총 참가업체,참가규모 부스 수,참가규모 업체 수,국내참가 기업수,한국참가 주관단체명,한국참가 주관단체 주소,전시회 모집기간 시작일,전시회 모집기간 종료 일
2020,2020 독일 프리드리히샤펀 국제 자전거전 수출컨소시엄,Eurobike 2020,International Bicycle Trade Exhibition 2020,기타,매년,독일,프리드리히샤펀,Messe Friedrichshafen,"자전거 및 모터사이클 관련 용품, 액세서리, 섬유 제품 등","자전거 및 모터사이클 관련 용품, 액세서리, 섬유 제품 등",2020-09-02,2020-09-05,48,1400,15,15,15,한국아웃도어스포츠산업협회,서울특별시 강남구 테헤란로92길 39 동해빌딩 3층,2020-11-16,2020-12-04
2020,2020 베트남 호치민 종합전 수출컨소시엄,V.I TRADE EXPO 2020,Vietnam International Trade Expo 2020,기타,매년,베트남,호치민,국제컨벤션센타,소비재 전반,패션. 미용. 선물 용품 등 소비재 용품,2020-12-03,2020-12-05,20,750,10,10,75,한국의류판매업협동조합연합회,서울특별시 종로구 종로66길 20 계명빌딩 207호,2020-10-05,2020-11-20
2020,2020 중국 상하이 춘계 인터텍스타일 국제 섬유전 수출컨소시엄,INTERTEXTILE SHANGHAI APPAREL FABRIC,INTERTEXTILE SHANGHAI APPAREL FABRIC Autumn edition,기타,연2회,중국,상하이,National (Shanghai) Center for Exhibition and Convention,의류용 원단 및 부자재,의류용 원단 및 부자재,2020-03-10,2020-03-12,24,3273,71,70,66,(사)한국패션소재협회,서울 강남구 도곡2동466∼467 우성리빙텔 301호,2020-11-11,2020-11-20
2020,2020 미국 라스베가스 프로젝트 국제 패션전 수출컨소시엄,Project Las Vegas,PROJECT-Contemporary Apparel and Accessories for Men and Women,기타,연2회,미국,라스베가스,Las Vegas Convention Center,패션,"남성복, 여성복, 패션잡화(가방,스카프,선글라스,신발,쥬얼리등)",2020-08-10,2020-08-12,27,1900,30,30,12,(사)한국패션소재협회,서울 강남구 도곡2동466∼467 우성리빙텔 301호,2020-07-28,2020-11-16
2020,2020 미국 라스베가스 건강 식음료 원료전 수출컨소시엄,Supply Side WEST,Supply Side WEST,기타,매년,미국,라스베가스,"Mandalay Bay, Las Vegas",건강기능식품 및 식품 원료,건강기능식품. 건강기능식품 원료. 원료 분석 기술 및 장비 등,2020-10-27,2020-10-30,70,9700,11,10,10,주식회사 글로벌에프엠,(05854) 서울특별시 송파구 법원로 128 (문정동) SK V1 GL메트로시티 A동 1205호,2020-02-03,2020-11-09
2020,2020 중국 하얼빈 아시아&태평양 미용미발전 수출컨소시엄,The 38th Beauty Fair,The 38th Asia & Pacific Area International Beauty Fair,기타,연2회,중국,하얼빈,하얼빈 국제컨벤션센터,미용,"화장, 미용용품",2020-05-11,2020-05-13,10,2100,40,40,40,사단법인 한국미용산업협회,서울시 금천구 디지털로9길 33 IT미래타워 1305호,2020-09-10,2020-10-25
2020,2020 독일 뮌헨 아웃도어 by ISPO 수출컨소시엄,Outdoor by ISPO 2020,Outdoor by ISPO 2020,기타,매년,독일,뮌헨,Messe Munchen,"아웃도어스포츠 섬유제품, 의류 및 액세서리, 부자재 등","아웃도어스포츠 섬유제품, 의류 및 액세서리, 부자재 등",2020-06-28,2020-09-30,35,1018,20,20,23,한국아웃도어스포츠산업협회,서울특별시 강남구 테헤란로92길 39 동해빌딩 3층,2020-01-02,2020-10-23
2020,"2020 독일 뮌헨 안전, 보안 박람회(홍보관)",SicherheitsExpo (SecurityExpo),Security trade fair for Corporate Security,기타,매년,독일,뮌헨,MOC Munich,-,기능성소재(아라미드계열). 보호복 및 장비. 용품,2020-10-21,2021-10-22,50,140,48,12,12,한국아웃도어스포츠산업협회,서울특별시 강남구 테헤란로92길 39 동해빌딩 3층,2020-08-03,2020-10-16
2020,2020 중국 선전 국제 터치스크린 및 디스플레이전 수출컨소시엄,C-Touch 2020,C-Touch & Display Shenzhen 2020,기타,매년,중국,선전,선전국제전시센터,디스플레이 장비. 부품. 소재. 터치필름 등,평판디스플레이 제조용 기계와 기기 및 부품. 반도체 검사장비 및 포토마스크 테스트 기기. 기타 기계류 및 반도체-FPD 제조용 후공정 장비 및 부분품,2020-11-19,2020-11-21,40,1000,10,10,35,한국디스플레이산업협회,서울시 강남구 테헤란로 310 두꺼비빌딩 4층,2020-06-01,2020-10-15
2020,2020 중국 선전 국제 금형 및 금속가공전 수출컨소시엄,DMP,"China DMP International Mould, Metalworking, Plastics & Packing Exhibition",기타,매년,중국,심천,Shenzhen World Exhibition & Convention Center,"금형, 공구, 가공기계","절삭공구, 금형, 가공기계",2020-11-24,2020-11-27,9,1800,17,12,20,한국공구공업협동조합,서울시 마포구 신수로 46 공구회관 301호,2020-10-07,2020-10-15
