날짜,요일,인원,데이터기준일자
2018-01-01,월,3546,2021-08-27
2018-01-02,화,686,2021-08-27
2018-01-03,수,996,2021-08-27
2018-01-04,목,483,2021-08-27
2018-01-05,금,723,2021-08-27
2018-01-06,토,1803,2021-08-27
2018-01-07,일,2111,2021-08-27
2018-01-08,월,533,2021-08-27
2018-01-09,화,506,2021-08-27
2018-01-10,수,622,2021-08-27
2018-01-11,목,471,2021-08-27
2018-01-12,금,496,2021-08-27
2018-01-13,토,1905,2021-08-27
2018-01-14,일,2164,2021-08-27
2018-01-15,월,924,2021-08-27
2018-01-16,화,556,2021-08-27
2018-01-17,수,642,2021-08-27
2018-01-18,목,646,2021-08-27
2018-01-19,금,715,2021-08-27
2018-01-20,토,1888,2021-08-27
2018-01-21,일,2272,2021-08-27
2018-01-22,월,738,2021-08-27
2018-01-23,화,366,2021-08-27
2018-01-24,수,324,2021-08-27
2018-01-25,목,332,2021-08-27
2018-01-26,금,460,2021-08-27
2018-01-27,토,1806,2021-08-27
2018-01-28,일,2002,2021-08-27
2018-01-29,월,623,2021-08-27
2018-01-30,화,991,2021-08-27
2018-01-31,수,1254,2021-08-27
2018-02-01,목,396,2021-08-27
2018-02-02,금,944,2021-08-27
2018-02-03,토,818,2021-08-27
2018-02-04,일,2029,2021-08-27
2018-02-05,월,429,2021-08-27
2018-02-06,화,242,2021-08-27
2018-02-07,수,262,2021-08-27
2018-02-08,목,422,2021-08-27
2018-02-09,금,416,2021-08-27
2018-02-10,토,1296,2021-08-27
2018-02-11,일,1131,2021-08-27
2018-02-12,월,397,2021-08-27
2018-02-13,화,430,2021-08-27
2018-02-14,수,531,2021-08-27
2018-02-15,목,1797,2021-08-27
2018-02-16,금,4322,2021-08-27
2018-02-17,토,3959,2021-08-27
2018-02-18,일,3321,2021-08-27
2018-02-19,월,623,2021-08-27
2018-02-20,화,700,2021-08-27
2018-02-21,수,721,2021-08-27
2018-02-22,목,803,2021-08-27
2018-02-23,금,832,2021-08-27
2018-02-24,토,2373,2021-08-27
2018-02-25,일,2211,2021-08-27
2018-02-26,월,815,2021-08-27
2018-02-27,화,932,2021-08-27
2018-02-28,수,377,2021-08-27
2018-03-01,목,1714,2021-08-27
2018-03-02,금,901,2021-08-27
2018-03-03,토,2909,2021-08-27
2018-03-04,일,2353,2021-08-27
2018-03-05,월,343,2021-08-27
2018-03-06,화,579,2021-08-27
2018-03-07,수,400,2021-08-27
2018-03-08,목,322,2021-08-27
2018-03-09,금,690,2021-08-27
2018-03-10,토,2508,2021-08-27
2018-03-11,일,3218,2021-08-27
2018-03-12,월,750,2021-08-27
2018-03-13,화,643,2021-08-27
2018-03-14,수,1351,2021-08-27
2018-03-15,목,884,2021-08-27
2018-03-16,금,846,2021-08-27
2018-03-17,토,4893,2021-08-27
2018-03-18,일,5155,2021-08-27
2018-03-19,월,970,2021-08-27
2018-03-20,화,1300,2021-08-27
2018-03-21,수,603,2021-08-27
2018-03-22,목,1901,2021-08-27
2018-03-23,금,1667,2021-08-27
2018-03-24,토,5775,2021-08-27
2018-03-25,일,6516,2021-08-27
2018-03-26,월,1909,2021-08-27
2018-03-27,화,2334,2021-08-27
2018-03-28,수,2329,2021-08-27
2018-03-29,목,1544,2021-08-27
2018-03-30,금,2320,2021-08-27
2018-03-31,토,6096,2021-08-27
2018-04-01,일,6251,2021-08-27
2018-04-02,월,1751,2021-08-27
2018-04-03,화,2395,2021-08-27
2018-04-04,수,2368,2021-08-27
2018-04-05,목,1620,2021-08-27
2018-04-06,금,2949,2021-08-27
2018-04-07,토,5507,2021-08-27
2018-04-08,일,6442,2021-08-27
2018-04-09,월,2719,2021-08-27
2018-04-10,화,3080,2021-08-27
2018-04-11,수,2567,2021-08-27
2018-04-12,목,3240,2021-08-27
2018-04-13,금,2740,2021-08-27
2018-04-14,토,3258,2021-08-27
2018-04-15,일,5070,2021-08-27
2018-04-16,월,1725,2021-08-27
2018-04-17,화,2249,2021-08-27
2018-04-18,수,2140,2021-08-27
2018-04-19,목,2031,2021-08-27
2018-04-20,금,2456,2021-08-27
2018-04-21,토,5137,2021-08-27
2018-04-22,일,4430,2021-08-27
2018-04-23,월,870,2021-08-27
2018-04-24,화,2296,2021-08-27
2018-04-25,수,1630,2021-08-27
2018-04-26,목,2801,2021-08-27
2018-04-27,금,2087,2021-08-27
2018-04-28,토,5100,2021-08-27
2018-04-29,일,5988,2021-08-27
2018-04-30,월,1858,2021-08-27
2018-05-01,화,3494,2021-08-27
2018-05-02,수,1170,2021-08-27
2018-05-03,목,2190,2021-08-27
2018-05-04,금,2428,2021-08-27
2018-05-05,토,8970,2021-08-27
2018-05-06,일,6640,2021-08-27
2018-05-07,월,4661,2021-08-27
2018-05-08,화,1424,2021-08-27
2018-05-09,수,3583,2021-08-27
2018-05-10,목,2294,2021-08-27
2018-05-11,금,2275,2021-08-27
2018-05-12,토,3070,2021-08-27
